0,107;0,426;0,97;0,561;0,248;0,39;0,073;0,074;0,277
0,014;0,452;0;0,653;0;0,399;0,64;0,074;0,227
0,852;0,331;0;0,474;0,276;0,149;0,47;0,074;0,822
0,475;0;0;0,561;0;0,613;0,592;0,005;0,119
0,106;0,388;0,543;0,566;0,189;0,266;0,467;0,074;0,266
0,959;0;0;0,193;0;0,276;0,758;0,074;0,905
0,091;0,464;0,648;0,413;0,339;0,237;0,48;0,074;0,527
0,564;0;0;0,561;0;0,715;0,532;0,245;0,463
0,098;0;0,67;0,473;0,342;0,517;0,547;0,074;0,135
0,342;0;0,499;0,194;0,385;0,596;0,767;0,036;0,387
0,797;0;0;0,345;0,351;0,666;0,379;0,074;0,953
0,523;0;0;0,561;0;0,651;0,569;0,245;0,443
0,493;0;0,63;0,704;0,186;0,174;0,359;0,074;0,47
0,296;0;0,608;0,417;0,208;0,742;0,463;0,005;0,163
0,149;0,361;0,643;0,429;0,242;0,597;0,383;0,005;0,157
0,202;0;0,626;0,32;0,307;0,835;0,523;0,005;0,089
0,112;0;0,925;0,361;0,497;0,794;0,211;0,074;0,139
0,427;0;0;0,561;0;0,326;0,756;0,005;0,116
0,203;0;0,627;0,322;0,242;0,84;0,527;0,074;0,3
0,484;0,403;0,565;0,457;0,248;0,198;0,241;0,074;0,547
0,684;0,263;0;0,204;0,354;0,424;0,648;0,247;0,912
0,838;0,326;0;0,128;1;0,149;0,618;0,016;0,655
0,395;0;0,607;0,301;0,307;0,734;0,46;0,272;0,701
0,221;0,368;0;0,561;0;0,516;0,581;0,245;0,445
0,43;0,538;0;0,51;0;0,573;0,277;0,074;0,383
0,603;0,52;0;0,555;0,205;0,068;0,409;0,074;0,792
0,737;0,296;0;0,253;0,512;0,149;0,735;0,074;0,722
0,232;0,378;0;0,51;0;0,8;0,415;0,016;0,12
0,395;0;0,607;0,301;0,307;0,734;0,46;0,074;0,61
0,595;0,526;0;0,344;0,36;0,418;0,406;0,151;0,934
0,539;0,526;0;0,424;0,295;0,418;0,406;0,247;0,816
0,212;0;0,502;0,387;0,233;0,573;0,772;0,005;0,123
0,311;0;0;0,513;0;0,924;0,489;0,074;0,189
0,416;0,042;0,705;0,457;0,171;0,119;0,519;0,074;0,516
0,251;0;0,624;0,297;0,242;0,827;0,516;0,005;0,214
0,769;0,492;0;0,513;0,345;0,244;0,286;0,016;0,67
0,253;0;0,502;0,3;0,323;0,59;0,777;0,074;0,437
0,309;0,661;0;0,848;0;0,381;0;0,016;0,298
0,621;0,526;0;0,386;0,314;0,364;0,408;0,151;0,761
0,447;0;0,535;0,513;0,186;0,227;0,554;0,074;0,502
0,482;0,73;0;0,429;0,267;0,715;0,045;0,151;0,779
0,114;0,496;0,693;0,365;0,568;0,416;0,252;0,074;0,424
0,014;0,452;0;0,653;0;0,399;0,64;0,016;0,067
0,341;0;0,591;0,533;0,199;0,661;0,411;0,036;0,275
0,526;0,396;0;0,848;0;0,381;0;0,739;0,473
0,674;0,048;0,79;0,361;0,646;0,483;0,098;0,074;0,664
0,309;0,661;0;0,848;0;0,381;0;0,074;0,346
0,852;0,331;0;0,474;0,276;0,149;0,47;0,151;0,872
0,595;0,526;0;0,344;0,36;0,418;0,406;0,016;0,667
0,852;0;0;0,848;0;0,381;0;0,245;0,497
0,743;0,132;0;0,848;0;0,381;0;0,074;0,437
0,148;0,21;0,835;0,337;0,245;0,6;0,442;0,005;0,164
0,163;0,139;0,867;0,343;0,202;0,597;0,501;0,272;0,669
0,416;0,333;0;0,371;0,224;0,492;0,502;0,074;0,481
0,692;0;0;0,425;0;0,927;0,253;0,074;0,623
0,105;0,487;0;0,393;0,062;0,578;0,587;0,074;0,306
0,909;0;0;0,625;0;0,942;0,048;0,005;0,296
0,255;0,273;0,122;0,478;0,214;0,77;0,48;0,005;0,195
0,526;0,396;0;0,848;0;0,381;0;0,016;0,348
0,888;0,072;0,615;0,704;0,121;0,235;0,263;0,151;0,713
0,945;0;0;0,321;0,255;0;0,522;0,074;0,486
0,281;0;0;0,473;0;0,907;0,6;0,074;0,187
0;0,426;0;0,561;0;0,25;0,873;0,016;0,067
0,527;0;0;0,561;0;0,378;0,624;0,005;0,166
0,148;0,696;0;0,653;0;0,508;0,247;0,005;0,057
0,443;0;0;0,561;0;0,826;0,429;0,245;0,337
0,342;0;0;0,505;0;0,901;0,477;0,016;0,142
0,1;0,64;0;0,641;0,093;0,076;0,697;0,074;0,383
0,201;0,529;0;0,848;0;0,381;0,191;1;0,64
0,153;0,117;0,621;0,292;0,335;0,813;0,507;0,005;0,063
0,737;0,296;0;0,253;0,512;0,149;0,735;0,074;0,722
0,422;0,337;0,47;0,529;0,28;0,299;0,256;0,074;0,493
0,341;0;0,591;0,533;0,18;0,661;0,411;0,005;0,185
0,331;0;0,625;0,172;0,373;0,831;0,519;0,151;0,722
0,623;0;0;0,513;0;0,689;0,411;0,016;0,296
0,541;0;0;0,505;0;0,753;0,401;0,074;0,365
0,486;0,381;0;0,185;0,183;0,956;0,379;0,074;0,989
0,457;0;0;0,649;0;0,503;0,559;0,036;0,197
0,255;0,273;0,122;0,478;0,214;0,77;0,48;0,151;0,603
0,183;0,126;0,61;0,387;0,255;0,751;0,468;0,272;0,577
0,187;0,341;0;0,653;0;0,46;0,517;0,074;0,271
0,251;0;0,624;0,297;0,242;0,827;0,516;0,036;0,362
0,495;0,591;0;0,271;0,444;0,149;0,719;0,247;0,819
0,265;0,152;0,619;0,152;0,37;0,799;0,498;0,151;0,743
0,651;0,056;0,47;0,281;0,444;0,398;0,63;0,005;0,254
0,634;0,421;0;0,256;0,494;0,969;0,028;0,151;0,655
0,863;0;0;0,561;0;0,393;0,297;0,016;0,402
0,128;0;0,975;0,784;0,342;0,282;0,299;0,074;0,077
0,464;0,566;0;0,653;0;0,478;0,093;0,245;0,651
0,635;0;0;0,848;0;0,381;0,191;1;0,625
0,468;0;0;0,569;0;0,485;0,547;0,492;0,401
0;0,426;0;0,561;0;0,25;0,873;0,005;0,028
0,306;0,437;0;0,561;0;0,499;0,389;0,016;0,225
0,541;0;0;0,601;0;0,485;0,469;0,492;0,425
0,785;0,067;0,395;0,321;0,32;0,483;0,296;0,074;0,636
0,119;0,401;0,56;0,784;0,311;0,355;0,161;0,074;0,177
0,664;0;0;0,561;0;0,406;0,481;0,016;0,317
0,909;0;0;0,625;0;0,942;0,048;0,036;0,431
0,251;0;0,624;0,297;0,242;0,827;0,516;0,074;0,451
0,564;0;0;0,561;0;0,741;0,539;0,327;0,48
0,148;0,696;0;0,653;0;0,508;0,247;0,074;0,394
0,205;0,801;0;0,561;0;0,374;0,306;0,016;0,239
0,461;0,39;0;0,736;0,186;0,273;0,321;0,074;0,387
0,446;0;0,587;0,423;0,295;0,645;0,4;0,272;0,678
0,161;0,038;0,862;0,28;0,127;0,597;0,658;0,036;0,342
0,635;0,264;0;0,848;0;0,381;0;0,016;0,38
0,118;0,401;0,561;0,785;0,314;0,355;0,16;0,074;0,177
0,452;0;0,6;0,72;0,311;0,224;0,336;0,074;0,268
0,481;0;0;0,45;0,248;0,578;0,573;0,074;0,284
0,255;0;0,871;0,299;0,363;0,705;0,446;0,151;0,61
0,148;0,21;0,835;0,337;0,245;0,6;0,442;0,151;0,637
0,296;0;0,608;0,417;0,208;0,742;0,463;0,151;0,503
